Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,100,50,25,29.368523999928584,2.853893000065,132.02214400007506,1536.35,0.8376006783602463,0.41880033918012316,25,33,36,39,46,100,120,130,130,130,130
GET,/owners/new,2753,127,10,17.2459148678164,1.7104550006479258,391.54657700055395,4654.613875771885,23.059146675257583,1.063752861517513,10,12,14,16,25,41,120,180,340,390,390
GET,GET /owners/{id}/pets/new,2622,81,11,18.78426408963781,1.437721999536734,429.09135000081733,4398.334858886346,21.96188978660566,0.6784565494717996,11,14,16,18,26,41,110,190,330,430,430
POST,POST /owners/new,2626,1,4,6.5598050556081215,1.7212859984283568,171.51563900006295,0.0,21.99539381374007,0.008376006783602464,4,4,5,6,9,16,57,85,130,170,170
POST,POST /owners/{id}/pets/new,2541,0,5,7.996801199557741,2.7129890004289337,164.11384499951964,0.0,21.28343323713386,0.0,5,6,7,7,11,19,50,81,150,160,160
,Aggregated,10642,259,8,12.893545987429516,1.437721999536734,429.09135000081733,2302.219601578651,89.13746419109742,2.169385756953038,8,10,12,13,21,33,86,130,290,410,430
