Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,25,0,8,7.926721559924772,5.453163999845856,15.756341999804135,2658.0,0.21005926699649544,0.0,8,8,8,9,9,10,16,16,16,16,16
GET,/owners/new,738,0,6,6.034871097570303,4.245771999194403,28.263372998480918,4879.0,6.200949561736546,0.0,6,6,6,6,7,9,11,20,28,28,28
GET,GET /owners/{id}/pets/new,726,0,7,7.1205698140280225,5.3205410004011355,32.09673799938173,4503.0,6.100121113578227,0.0,7,7,7,7,8,10,13,17,32,32,32
POST,POST /owners/new,738,0,2,2.275116008116506,1.4876449986331863,9.802685999602545,0.0,6.200949561736546,0.0,2,2,2,2,3,4,6,7,10,10,10
POST,POST /owners/{id}/pets/new,726,0,3,3.023640844339978,2.1195680001255823,13.71851899966714,0.0,6.100121113578227,0.0,3,3,3,3,4,4,5,6,14,14,14
,Aggregated,2953,0,5,4.637871812045429,1.4876449986331863,32.09673799938173,2348.9095834744326,24.812200617626043,0.0,5,6,6,6,7,8,10,13,28,32,32
