Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10,0,12,16.838289899897063,9.899865999614121,27.62705500026641,2658.0,0.0843221976102839,0.0,17,18,25,25,28,28,28,28,28,28,28
GET,/owners/new,303,0,5,6.229861967032247,4.465189000256942,28.45915000034438,4879.0,2.554962587591602,0.0,5,6,6,6,7,10,19,25,28,28,28
GET,GET /owners/{id}/pets/new,298,0,7,7.505329473182147,5.403488999945694,41.61005300011311,4503.0,2.5128014887864603,0.0,7,7,7,8,9,12,18,29,42,42,42
POST,POST /owners/new,303,0,2,2.797609603983579,1.631770999665605,28.346937000605976,0.0,2.554962587591602,0.0,2,2,2,3,4,4,9,26,28,28,28
POST,POST /owners/{id}/pets/new,298,0,3,3.8965717081224502,2.577604000180145,37.64489900095214,0.0,2.5128014887864603,0.0,3,4,4,4,5,6,10,21,38,38,38
,Aggregated,1212,0,5,5.199235426605227,1.631770999665605,41.61005300011311,2348.8539603960394,10.219850350366409,0.0,5,6,6,7,7,10,18,25,38,42,42
