users,requests,failures,avg_response_time,p99_response_time,error_rate,throughput
10,1212,0,5.199235426605227,5,0,10.219850350366409
25,2953,0,4.637871812045429,5,0,24.812200617626043
50,5782,0,7.294392842775332,7,0,48.55990523889983
75,8355,0,27.28311153057691,11,0,69.90133761924606
100,10642,259,12.893545987429516,8,2.00,89.13746419109742
125,10689,1871,38.57597878819915,14,17.00,89.61353173796947
