Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,125,0,13,15.45002012803161,6.932853999387589,70.06600500062632,2658.0,1.0479643995926826,0.0,13,15,17,19,23,26,57,64,70,70,70
GET,/owners/new,3306,798,19,47.0807045272204,1.1684620003507007,1053.5110129985696,3701.310344827586,27.716562440427268,6.690204726999685,19,29,37,47,100,230,370,460,820,1100,1100
GET,GET /owners/{id}/pets/new,2886,1019,20,48.4590423624454,1.2750639998557745,906.7653700003575,3745.242896742897,24.195402057795853,8.543005785479547,20,30,38,47,110,210,400,500,860,910,910
POST,POST /owners/new,2507,22,8,25.191811226978604,2.122036999935517,453.44101800037606,0.0,21.01797399823084,0.18444173432831212,8,12,18,24,63,120,200,280,400,450,450
POST,POST /owners/{id}/pets/new,1865,32,11,27.747940257379973,2.961408999908599,480.69893600040814,0.0,15.635628841922824,0.2682788862957267,11,16,22,28,65,120,210,270,450,480,480
,Aggregated,10689,1871,14,38.57597878819915,1.1684620003507007,1053.5110129985696,2187.066423425952,89.61353173796947,15.685931133103272,14,23,31,39,84,170,320,400,770,910,1100
