Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,75,0,8,8.953025346781942,5.642165999233839,17.852458000561455,2658.0,0.6274805890417061,0.0,8,9,10,11,13,15,17,18,18,18,18
GET,/owners/new,2090,0,14,36.12972652631013,5.080001999886008,489.16809699949226,4879.0,17.485792414628875,0.0,14,24,33,43,86,150,240,290,470,490,490
GET,GET /owners/{id}/pets/new,2050,0,17,41.96972676682734,6.0806040000898065,498.3661980004399,4503.0,17.1511361004733,0.0,17,28,38,48,99,190,270,310,480,500,500
POST,POST /owners/new,2090,0,5,13.403244028698904,1.8020580009761034,230.20615199857275,0.0,17.485792414628875,0.0,5,8,11,14,31,55,96,140,210,230,230
POST,POST /owners/{id}/pets/new,2050,0,7,18.398571514632593,2.3691110000072513,247.9542080000101,0.0,17.1511361004733,0.0,7,11,17,21,44,79,130,160,240,250,250
,Aggregated,8355,0,11,27.28311153057691,1.8020580009761034,498.3661980004399,2349.2052663076,69.90133761924606,0.0,11,17,24,31,64,110,200,260,450,500,500
